,author,rating,title,content,date,verified,image_url
0,abhijeet Kindo,5.0 ,Its a mastepiece,"
Its a perfect game and must play game for every gamer . Graphics are top notch,gameplay ,story ,dialouge ,character .after all best game of all time .
",Reviewed in India on 2 March 2024,Verified Purchase,
1,Anuj Pachhel,5.0 ,Masterpiece,"
Splendid. You feel like kratos after this. I am 50 hours into the game, story wise it has amazing content especially if you are into norse mythology, and core story is 25-30 hours. But the additional content is also worth it.Gonna try new game plus and Valhalla when I get the time!
",Reviewed in India on 17 February 2024,Verified Purchase,
2,Pratik Mandal,5.0 ,Worth it...,"
This is the best game I have ever played and you can't stop playing it, awesome graphics and story. You HAVE to play this game.
",Reviewed in India on 27 January 2024,Verified Purchase,https://m.media-amazon.com/images/I/611elf1h8kL._SY88.jpg
3,H@ri,5.0 ,Awsome,"
This game is truly awsome.
",Reviewed in India on 1 March 2024,Verified Purchase,
4,Anju Prova Dutta,5.0 ,Heard great things about this game and the first one was a masterpiece so I have no doubts,"
As for my product, I'm slightly disappointed as the data disc holder has come off due to slight damage in the game case as you can see. Other than that, I received a sealed copy of the game and don't have any complaints. But this is a fragile item that should've been handled with more care.
",Reviewed in India on 28 December 2023,Verified Purchase,https://m.media-amazon.com/images/I/71ydPzqNfmL._SY88.jpg
5,Ashvin,4.0 ,Average game,"
Not that entertaining. Its just a hype.
",Reviewed in India on 21 November 2023,Verified Purchase,
6,RoshaN Biswas,5.0 ,Good,"
My fav game must play once ………..price should be low at 2023 over all game is great enjoyable thankyou .Unfortunately my play disk is not working i guess i have problems with my ps😄
",Reviewed in India on 3 January 2024,Verified Purchase,
7,vaibhav,5.0 ,Original product,"
Recvd in perfect condition
",Reviewed in India on 14 February 2024,Verified Purchase,
8,Placeholder,5.0 ,Wanting this game for long time,"
Best game and graphics of all time...
",Reviewed in India on 14 March 2024,Verified Purchase,
9,Arjun Raj,5.0 ,Good,"
Good
",Reviewed in India on 12 February 2024,Verified Purchase,
